
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0         24 K
System                           4 Services                   0      8,200 K
smss.exe                       312 Services                   0        952 K
csrss.exe                      416 Services                   0      5,228 K
wininit.exe                    476 Services                   0      4,576 K
csrss.exe                      500 Console                    1     84,920 K
winlogon.exe                   552 Console                    1      6,584 K
services.exe                   588 Services                   0      9,152 K
lsass.exe                      604 Services                   0     16,124 K
lsm.exe                        616 Services                   0      4,340 K
svchost.exe                    704 Services                   0      8,900 K
svchost.exe                    788 Services                   0      8,116 K
svchost.exe                    880 Services                   0     17,720 K
svchost.exe                    924 Services                   0    138,444 K
svchost.exe                    968 Services                   0     14,332 K
svchost.exe                    992 Services                   0     31,712 K
ZhuDongFangYu.exe             1112 Services                   0     12,716 K
svchost.exe                   1240 Services                   0     14,728 K
spoolsv.exe                   1384 Services                   0      9,744 K
svchost.exe                   1440 Services                   0     12,912 K
svchost.exe                   1508 Services                   0     18,776 K
91MobileDeviceService.exe     1620 Services                   0      9,856 K
armsvc.exe                    1668 Services                   0      3,588 K
AlipaySecSvc.exe              1716 Services                   0     17,496 K
AppleMobileDeviceService.     1776 Services                   0      7,156 K
AddrUpdate.exe                1836 Services                   0      8,724 K
mDNSResponder.exe             1856 Services                   0      5,556 K
SkypeC2CAutoUpdateSvc.exe     1880 Services                   0      6,992 K
SkypeC2CPNRSvc.exe            1932 Services                   0      3,548 K
HiSuiteOuc64.exe              2032 Services                   0      3,876 K
HuaweiHiSuiteService64.ex     1032 Services                   0      4,276 K
HZ_CommSrv.exe                1316 Services                   0      3,944 K
HZ_CommSrv64.exe              1632 Services                   0      3,136 K
OmniAddrService.exe           1576 Services                   0      7,624 K
p4s.exe                       2076 Services                   0      4,256 K
svchost.exe                   2124 Services                   0      7,148 K
TBUpdate.exe                  2192 Services                   0      7,576 K
VisualSVNServer.exe           2232 Services                   0      5,280 K
vmnat.exe                     2272 Services                   0      4,512 K
WDKeyMonitorCCB.exe           2300 Services                   0      3,960 K
svchost.exe                   2332 Services                   0     14,308 K
vmware-authd.exe              2356 Services                   0      9,016 K
vmnetdhcp.exe                 2444 Services                   0      6,780 K
vmware-usbarbitrator64.ex     2480 Services                   0      6,604 K
VisualSVNServer.exe           2584 Services                   0      6,184 K
vmware-hostd.exe              3300 Services                   0     29,084 K
svchost.exe                   3540 Services                   0      5,208 K
WmiPrvSE.exe                  3676 Services                   0     11,060 K
taskhost.exe                  3424 Console                    1     18,604 K
dwm.exe                       3752 Console                    1     68,908 K
explorer.exe                  3712 Console                    1     56,968 K
igfxtray.exe                  4208 Console                    1      5,616 K
hkcmd.exe                     4220 Console                    1      9,792 K
igfxpers.exe                  4320 Console                    1      5,728 K
CCBCertificate.exe            4356 Console                    1      7,756 K
TaobaoProtect.exe             4380 Console                    1      8,116 K
WDCertM_CCB.exe               4432 Console                    1      9,992 K
Alipaybsm.exe                 4536 Console                    1     15,772 K
Thunder.exe                   4616 Console                    1     26,560 K
360sd.exe                     4632 Console                    1      1,664 K
SGImeGuard.exe                4664 Console                    1     18,224 K
KKV.exe                       4792 Console                    1      7,040 K
360tray.exe                   4936 Console                    1     23,156 K
WPService.exe                 5028 Console                    1      8,236 K
jusched.exe                   5052 Console                    1      4,516 K
vmware-tray.exe               4348 Console                    1      5,032 K
USBKeyTools.exe               1136 Console                    1      8,640 K
SearchIndexer.exe             3920 Services                   0     32,744 K
360rp.exe                     5608 Console                    1     64,416 K
ThunderPlatform.exe           5736 Console                    1     19,872 K
wmpnetwk.exe                  5824 Services                   0     12,248 K
eclipse.exe                   4300 Console                    1    512,596 K
SoftMgrLite.exe               5592 Console                    1     13,576 K
SearchProtocolHost.exe        6424 Services                   0      6,356 K
svchost.exe                   5832 Services                   0     21,740 K
xmptipwnd.1.0.0.73.exe        6060 Console                    1     90,804 K
WUDFHost.exe                  6032 Services                   0      5,296 K
91 PC Suite.exe               5856 Console                    1      7,748 K
AndroidInterface.exe          3804 Console                    1      6,020 K
conhost.exe                   5160 Console                    1      3,264 K
360MobileMgr.exe              5412 Console                    1     17,552 K
360MobileMgr.exe              3524 Console                    1     27,224 K
chromedriver.exe               364 Console                    1      5,844 K
conhost.exe                   7064 Console                    1      3,204 K
chrome.exe                    4236 Console                    1     46,116 K
chrome.exe                    7120 Console                    1     33,764 K
chrome.exe                    4516 Console                    1     20,204 K
chrome.exe                    7060 Console                    1     14,620 K
chromedriver.exe              1612 Console                    1     10,276 K
