
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0         24 K
System                           4 Services                   0      4,536 K
smss.exe                       312 Services                   0        940 K
csrss.exe                      416 Services                   0      5,312 K
wininit.exe                    476 Services                   0      4,516 K
csrss.exe                      500 Console                    1     83,712 K
winlogon.exe                   568 Console                    1      6,480 K
services.exe                   588 Services                   0      9,148 K
lsass.exe                      604 Services                   0     12,604 K
lsm.exe                        616 Services                   0      4,224 K
svchost.exe                    708 Services                   0      9,104 K
svchost.exe                    788 Services                   0      8,236 K
svchost.exe                    884 Services                   0     16,860 K
svchost.exe                    924 Services                   0    160,028 K
svchost.exe                    964 Services                   0     18,712 K
svchost.exe                    988 Services                   0     26,704 K
ZhuDongFangYu.exe             1084 Services                   0     11,860 K
svchost.exe                   1220 Services                   0     15,032 K
spoolsv.exe                   1380 Services                   0      8,688 K
svchost.exe                   1456 Services                   0     13,496 K
svchost.exe                   1484 Services                   0     18,060 K
91MobileDeviceService.exe     1604 Services                   0     11,232 K
armsvc.exe                    1652 Services                   0      3,512 K
AlipaySecSvc.exe              1692 Services                   0     14,916 K
AppleMobileDeviceService.     1752 Services                   0      7,888 K
AddrUpdate.exe                1820 Services                   0      9,532 K
mDNSResponder.exe             1852 Services                   0      5,436 K
SkypeC2CAutoUpdateSvc.exe     1876 Services                   0      5,612 K
SkypeC2CPNRSvc.exe            1916 Services                   0      3,588 K
HiSuiteOuc64.exe              2012 Services                   0      4,104 K
HuaweiHiSuiteService64.ex     1132 Services                   0      4,228 K
HZ_CommSrv.exe                1480 Services                   0      3,948 K
HZ_CommSrv64.exe              1148 Services                   0      2,896 K
OmniAddrService.exe           1936 Services                   0      8,456 K
p4s.exe                       2072 Services                   0      3,788 K
svchost.exe                   2164 Services                   0      7,340 K
TBUpdate.exe                  2188 Services                   0      8,820 K
VisualSVNServer.exe           2228 Services                   0      5,292 K
vmnat.exe                     2280 Services                   0      4,372 K
WDKeyMonitorCCB.exe           2308 Services                   0      3,952 K
svchost.exe                   2336 Services                   0     15,120 K
vmware-authd.exe              2364 Services                   0      9,088 K
vmnetdhcp.exe                 2440 Services                   0      5,212 K
vmware-usbarbitrator64.ex     2464 Services                   0      6,028 K
VisualSVNServer.exe           2744 Services                   0      6,112 K
vmware-hostd.exe              3272 Services                   0     25,416 K
svchost.exe                   3396 Services                   0      4,928 K
taskhost.exe                  3572 Console                    1     22,556 K
dwm.exe                       3636 Console                    1     61,580 K
explorer.exe                  3660 Console                    1     70,604 K
TaobaoProtect.exe             4016 Console                    1      9,636 K
WmiPrvSE.exe                  4092 Services                   0     13,652 K
Alipaybsm.exe                 2588 Console                    1     15,356 K
igfxtray.exe                  4572 Console                    1      5,468 K
hkcmd.exe                     4632 Console                    1      9,256 K
igfxpers.exe                  4728 Console                    1      5,476 K
CCBCertificate.exe            4744 Console                    1      7,444 K
WDCertM_CCB.exe               4764 Console                    1      9,232 K
Thunder.exe                   4788 Console                    1     13,324 K
SGImeGuard.exe                4800 Console                    1     17,776 K
360tray.exe                   4892 Console                    1     30,572 K
WPService.exe                 5028 Console                    1      8,536 K
jusched.exe                   5056 Console                    1      4,308 K
vmware-tray.exe               5064 Console                    1      4,792 K
USBKeyTools.exe               5080 Console                    1      7,708 K
360sd.exe                     3532 Console                    1      3,544 K
SearchIndexer.exe             4120 Services                   0     42,072 K
360rp.exe                     5472 Console                    1     79,172 K
ThunderPlatform.exe           5704 Console                    1     19,228 K
XLUEOPS.exe                   6008 Console                    1     13,408 K
wmpnetwk.exe                  6096 Services                   0     12,136 K
KKV.exe                       5568 Console                    1      7,200 K
SoftMgrLite.exe                980 Console                    1     21,488 K
svchost.exe                   6932 Services                   0     23,004 K
SearchProtocolHost.exe        5252 Services                   0      6,388 K
eclipse.exe                   6608 Console                    1    763,412 K
91 PC Suite.exe               3404 Console                    1     10,588 K
firefox.exe                   6964 Console                    1    150,320 K
QQProtect.exe                 7308 Console                    1     16,960 K
QQ.exe                        1016 Console                    1     97,676 K
TXPlatform.exe                7948 Console                    1      1,724 K
QQExternal.exe                2020 Console                    1      1,660 K
notepad.exe                   1240 Console                    1      6,260 K
calc.exe                      9660 Console                    1      9,440 K
chromedriver.exe              9944 Console                    1      9,924 K
conhost.exe                    956 Console                    1      3,236 K
notepad.exe                   9336 Console                    1      6,368 K
chromedriver.exe              8444 Console                    1      9,844 K
conhost.exe                   9368 Console                    1      3,148 K
chromedriver.exe              4684 Console                    1      9,976 K
