
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0         24 K
System                           4 Services                   0      4,536 K
smss.exe                       312 Services                   0        940 K
csrss.exe                      416 Services                   0      5,312 K
wininit.exe                    476 Services                   0      4,516 K
csrss.exe                      500 Console                    1     90,536 K
winlogon.exe                   568 Console                    1      6,480 K
services.exe                   588 Services                   0      9,192 K
lsass.exe                      604 Services                   0     12,752 K
lsm.exe                        616 Services                   0      4,240 K
svchost.exe                    708 Services                   0      9,048 K
svchost.exe                    788 Services                   0      8,216 K
svchost.exe                    884 Services                   0     16,924 K
svchost.exe                    924 Services                   0    161,164 K
svchost.exe                    964 Services                   0     18,884 K
svchost.exe                    988 Services                   0     26,744 K
ZhuDongFangYu.exe             1084 Services                   0     11,860 K
svchost.exe                   1220 Services                   0     15,168 K
spoolsv.exe                   1380 Services                   0      8,672 K
svchost.exe                   1456 Services                   0     13,552 K
svchost.exe                   1484 Services                   0     17,992 K
91MobileDeviceService.exe     1604 Services                   0     11,144 K
armsvc.exe                    1652 Services                   0      3,512 K
AlipaySecSvc.exe              1692 Services                   0     14,976 K
AppleMobileDeviceService.     1752 Services                   0      7,920 K
AddrUpdate.exe                1820 Services                   0      9,532 K
mDNSResponder.exe             1852 Services                   0      5,452 K
SkypeC2CAutoUpdateSvc.exe     1876 Services                   0      5,612 K
SkypeC2CPNRSvc.exe            1916 Services                   0      3,588 K
HiSuiteOuc64.exe              2012 Services                   0      4,196 K
HuaweiHiSuiteService64.ex     1132 Services                   0      4,228 K
HZ_CommSrv.exe                1480 Services                   0      3,948 K
HZ_CommSrv64.exe              1148 Services                   0      2,896 K
OmniAddrService.exe           1936 Services                   0      8,456 K
p4s.exe                       2072 Services                   0      3,788 K
svchost.exe                   2164 Services                   0      7,340 K
TBUpdate.exe                  2188 Services                   0      8,820 K
VisualSVNServer.exe           2228 Services                   0      5,292 K
vmnat.exe                     2280 Services                   0      4,372 K
WDKeyMonitorCCB.exe           2308 Services                   0      3,952 K
svchost.exe                   2336 Services                   0     15,140 K
vmware-authd.exe              2364 Services                   0      9,092 K
vmnetdhcp.exe                 2440 Services                   0      5,212 K
vmware-usbarbitrator64.ex     2464 Services                   0      6,028 K
VisualSVNServer.exe           2744 Services                   0      6,112 K
vmware-hostd.exe              3272 Services                   0     25,416 K
svchost.exe                   3396 Services                   0      4,928 K
taskhost.exe                  3572 Console                    1     23,472 K
dwm.exe                       3636 Console                    1     58,052 K
explorer.exe                  3660 Console                    1     70,656 K
TaobaoProtect.exe             4016 Console                    1      4,672 K
WmiPrvSE.exe                  4092 Services                   0     13,708 K
Alipaybsm.exe                 2588 Console                    1     15,120 K
igfxtray.exe                  4572 Console                    1      5,468 K
hkcmd.exe                     4632 Console                    1      9,256 K
igfxpers.exe                  4728 Console                    1      5,476 K
CCBCertificate.exe            4744 Console                    1      7,444 K
WDCertM_CCB.exe               4764 Console                    1      9,232 K
Thunder.exe                   4788 Console                    1     25,764 K
SGImeGuard.exe                4800 Console                    1     18,340 K
360tray.exe                   4892 Console                    1     24,920 K
WPService.exe                 5028 Console                    1      8,540 K
jusched.exe                   5056 Console                    1      4,308 K
vmware-tray.exe               5064 Console                    1      4,792 K
USBKeyTools.exe               5080 Console                    1      7,708 K
360sd.exe                     3532 Console                    1      1,880 K
SearchIndexer.exe             4120 Services                   0     42,032 K
360rp.exe                     5472 Console                    1     80,200 K
ThunderPlatform.exe           5704 Console                    1     19,348 K
XLUEOPS.exe                   6008 Console                    1     13,476 K
wmpnetwk.exe                  6096 Services                   0     12,132 K
KKV.exe                       5568 Console                    1      7,244 K
SoftMgrLite.exe                980 Console                    1     27,068 K
svchost.exe                   6932 Services                   0     21,468 K
SearchProtocolHost.exe        5252 Services                   0      6,196 K
eclipse.exe                   6608 Console                    1    758,624 K
91 PC Suite.exe               3404 Console                    1     10,792 K
firefox.exe                   6964 Console                    1    157,180 K
QQProtect.exe                 7308 Console                    1     17,004 K
QQ.exe                        1016 Console                    1     81,584 K
TXPlatform.exe                7948 Console                    1      1,724 K
QQExternal.exe                2020 Console                    1      2,576 K
notepad.exe                   1240 Console                    1      6,260 K
calc.exe                      9660 Console                    1      9,440 K
chromedriver.exe              9944 Console                    1      9,924 K
conhost.exe                    956 Console                    1      3,236 K
notepad.exe                   9336 Console                    1      6,368 K
chromedriver.exe              8444 Console                    1      9,844 K
conhost.exe                   9368 Console                    1      3,148 K
chromedriver.exe              4684 Console                    1      9,976 K
