
映像名称                       PID 会话名              会话#       内存使用 
QQExternal.exe               10068 Console                    1      7,912 K
SohuNews.exe                 11088 Console                    1     69,288 K
WUDFHost.exe                 11108 Services                   0      7,672 K
taskmgr.exe                   4372 Console                    1     14,968 K
taskeng.exe                   7460 Services                   0      5,452 K
SGTool.exe                    6048 Console                    1     20,932 K
chromedriver.exe              6832 Console                    1     14,340 K
conhost.exe                  12168 Console                    1      3,936 K
cmd.exe                       8264 Console                    1      3,396 K
conhost.exe                  10060 Console                    1      6,732 K
cmd.exe                       3292 Console                    1      3,408 K
conhost.exe                   9576 Console                    1      6,848 K
adb.exe                      12256 Console                    1      4,300 K
cmd.exe                      10588 Console                    1      3,432 K
adb.exe                      10888 Console                    1      4,284 K
conhost.exe                  12664 Console                    1      6,596 K
cmd.exe                       4452 Console                    1      3,432 K
conhost.exe                  10488 Console                    1      6,692 K
adb.exe                      12668 Console                    1      4,264 K
cmd.exe                      11016 Console                    1      3,368 K
conhost.exe                   9440 Console                    1      6,528 K
cmd.exe                      12880 Console                    1      3,400 K
adb.exe                       7112 Console                    1      4,292 K
cmd.exe                       7804 Console                    1      3,392 K
conhost.exe                   2176 Console                    1      6,488 K
cmd.exe                       8492 Console                    1      3,376 K
cmd.exe                      13260 Console                    1      3,416 K
conhost.exe                   8328 Console                    1      6,612 K
conhost.exe                   8292 Console                    1      6,620 K
adb.exe                      12316 Console                    1      4,284 K
conhost.exe                   6688 Console                    1      6,452 K
cmd.exe                      11788 Console                    1      3,380 K
adb.exe                       7272 Console                    1      4,260 K
adb.exe                      11920 Console                    1      4,284 K
conhost.exe                  11056 Console                    1      6,412 K
adb.exe                       9136 Console                    1      4,280 K
cmd.exe                        584 Console                    1      3,408 K
conhost.exe                   3932 Console                    1      6,452 K
cmd.exe                      12416 Console                    1      3,400 K
conhost.exe                  10216 Console                    1      6,304 K
adb.exe                      11768 Console                    1      4,264 K
cmd.exe                       9260 Console                    1      3,428 K
cmd.exe                       9812 Console                    1      3,412 K
adb.exe                      10552 Console                    1      4,256 K
conhost.exe                  11864 Console                    1      6,332 K
conhost.exe                   3340 Console                    1      6,444 K
cmd.exe                      10024 Console                    1      3,432 K
adb.exe                      13180 Console                    1      4,264 K
conhost.exe                  11744 Console                    1      6,432 K
cmd.exe                      13184 Console                    1      3,396 K
conhost.exe                  11924 Console                    1      6,304 K
cmd.exe                      10200 Console                    1      3,428 K
conhost.exe                  11572 Console                    1      6,360 K
adb.exe                       9640 Console                    1      4,252 K
cmd.exe                       9524 Console                    1      3,412 K
cmd.exe                      10648 Console                    1      3,424 K
conhost.exe                   7880 Console                    1      6,356 K
cmd.exe                      13264 Console                    1      3,376 K
conhost.exe                   9668 Console                    1      6,304 K
conhost.exe                  10332 Console                    1      6,284 K
cmd.exe                       8384 Console                    1      3,432 K
adb.exe                       9256 Console                    1      4,248 K
conhost.exe                   5156 Console                    1      6,260 K
adb.exe                      10960 Console                    1      4,284 K
cmd.exe                      11816 Console                    1      3,392 K
cmd.exe                      12544 Console                    1      3,400 K
adb.exe                       9212 Console                    1      4,260 K
adb.exe                      10956 Console                    1      4,288 K
conhost.exe                   8232 Console                    1      6,276 K
adb.exe                       3840 Console                    1      4,276 K
conhost.exe                  12552 Console                    1      6,280 K
adb.exe                       9876 Console                    1      4,268 K
adb.exe                      11524 Console                    1      4,256 K
adb.exe                      11300 Console                    1      4,264 K
cmd.exe                       2492 Console                    1      3,376 K
adb.exe                       9760 Console                    1      4,284 K
conhost.exe                   1076 Console                    1      6,436 K
adb.exe                      11388 Console                    1      4,288 K
cmd.exe                       7384 Console                    1      3,408 K
conhost.exe                   7564 Console                    1      6,336 K
cmd.exe                      12292 Console                    1      3,388 K
cmd.exe                       9804 Console                    1      3,408 K
conhost.exe                    508 Console                    1      6,168 K
adb.exe                      12364 Console                    1      4,248 K
conhost.exe                   1252 Console                    1      6,184 K
cmd.exe                       1152 Console                    1      3,376 K
adb.exe                      11728 Console                    1      4,264 K
conhost.exe                  11096 Console                    1      6,128 K
cmd.exe                       9968 Console                    1      3,404 K
conhost.exe                  10452 Console                    1      6,384 K
adb.exe                       7724 Console                    1      4,264 K
adb.exe                       8512 Console                    1      4,252 K
adb.exe                      11660 Console                    1      4,256 K
cmd.exe                       4504 Console                    1      3,400 K
adb.exe                      10328 Console                    1      4,260 K
cmd.exe                      12336 Console                    1      3,396 K
conhost.exe                   7132 Console                    1      6,304 K
cmd.exe                      10264 Console                    1      3,400 K
adb.exe                       4552 Console                    1      4,292 K
conhost.exe                   7124 Console                    1      6,236 K
cmd.exe                      11084 Console                    1      3,396 K
conhost.exe                   3664 Console                    1      6,512 K
conhost.exe                  12376 Console                    1      6,264 K
adb.exe                      12388 Console                    1      4,284 K
adb.exe                       8724 Console                    1      4,264 K
adb.exe                      12240 Console                    1      4,288 K
adb.exe                       6192 Console                    1      4,264 K
javaw.exe                     5064 Console                    1     66,944 K
cmd.exe                      12120 Console                    1      3,400 K
conhost.exe                   9532 Console                    1      6,680 K
adb.exe                      12620 Console                    1      4,252 K
chromedriver.exe             11804 Console                    1     14,452 K
conhost.exe                  12584 Console                    1      4,028 K
cmd.exe                       1888 Console                    1      3,332 K
conhost.exe                  10548 Console                    1      6,364 K
tasklist.exe                  9004 Console                    1      5,988 K
